Direction,Total Count
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,0
up,0
down,1
up,0
down,1
up,1
down,1
up,1
down,1
up,1
down,1
up,2
down,1
up,2
down,1
up,2
down,1
up,2
down,1
up,2
down,1
up,2
down,1
up,2
down,1
up,2
down,1
up,3
down,1
up,3
down,1
up,3
down,1
up,4
down,1
up,4
down,2
up,4
down,2
up,4
down,2
up,5
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,6
down,2
up,7
down,2
up,7
down,2
up,7
down,2
up,7
down,2
up,7
down,2
up,7
down,2
up,8
down,2
up,8
down,2
up,8
down,2
up,8
down,2
up,8
down,2
up,8
down,2
up,8
down,2
up,9
down,2
up,9
down,2
up,9
down,2
up,9
down,2
up,10
down,2
up,10
down,2
up,10
down,2
up,11
down,2
up,11
down,2
up,12
down,2
up,12
down,2
up,12
down,2
up,12
down,2
up,12
down,2
up,12
down,2
up,12
down,2
up,13
down,2
up,13
down,2
up,13
down,3
up,13
down,3
up,14
down,3
up,14
down,3
up,14
down,3
up,14
down,3
up,14
down,4
up,14
down,4
up,14
down,4
up,15
down,4
up,15
down,4
up,16
down,4
up,16
down,4
up,16
down,4
up,17
down,4
up,17
down,4
up,17
down,4
up,17
down,4
up,17
down,4
up,18
down,4
up,18
down,4
up,18
down,4
up,18
down,4
up,18
down,4
up,18
down,4
up,19
down,4
up,19
down,4
up,19
down,4
up,19
down,4
up,19
down,4
up,19
down,4
up,20
down,4
up,20
down,4
up,20
down,4
up,20
down,4
up,21
down,4
up,21
down,4
up,21
down,4
up,21
down,4
up,22
down,4
up,22
down,4
up,22
down,4
up,22
down,4
up,22
down,4
up,22
down,4
up,22
down,5
up,22
down,5
up,23
down,5
up,23
down,5
up,23
down,5
up,24
down,6
up,24
down,7
up,24
down,7
up,24
down,7
up,25
down,7
up,25
down,7
up,25
down,7
up,26
down,7
up,26
down,8
up,27
down,8
up,27
down,8
up,27
down,8
up,28
down,8
up,28
down,8
up,29
down,9
up,30
down,9
up,30
down,9
up,30
down,9
up,31
down,9
up,31
down,9
up,31
down,9
up,31
down,9
up,32
down,10
up,32
down,11
up,32
down,11
up,32
down,11
up,32
down,12
up,33
down,12
up,33
down,12
up,33
down,13
up,33
down,13
up,33
down,13
up,33
down,13
up,34
down,14
up,34
down,14
up,35
down,15
up,35
down,16
up,35
down,17
up,35
down,17
up,35
down,17
up,36
down,17
up,36
down,18
up,36
down,18
up,37
down,19
up,37
down,19
up,37
down,19
up,37
down,19
up,37
down,19
up,37
down,19
up,37
down,19
up,37
